index,label,text
634,smish,You have won 7 bhori gold! Call for details: +8801719899901
635,promo,"Hotshot cashback TK18! Hotspot deal 22GB@TK179, 7 days: cutt.ly/fwLo4TBP"
636,promo,Special offer for new customers! 30% discount on our service.
637,normal,What are you thinking?
638,promo,May 5 International Midwife Day. This year's theme - From Data to Reality: All Midwives Together.
639,smish,Call to reactivate bKash account: +8801714344356
640,normal,May all your wishes come true!
641,smish,Get a chance to meet Mashrafe personally by betting on BPL. Join: ebayisapidlld.altervista.org/
642,smish,You have won a free gift card! Click here to collect: [giftcardfree.com/CollectBD]
643,normal,Is there any news for me?
644,smish,"Only for sisters😍😍 You can do the work at home through phone☺ Instead of wasting time on fb unnecessarily, you can use that time to earn daily 200-400 taka and monthly 6000-12000 taka In sha Allah😍"
645,promo,"May 18 International Museum Day. This year's theme: ""Museums, Sustainability and Prosperity"". You are cordially invited to the daylong program of Bangladesh National Museum on this occasion."
646,promo,20% discount on travel packages! Contact today to book.
647,normal,"I am fine, how are you?"
648,normal,"Your due amount is 800/- taka, pay quickly."
649,normal,Good morning!
650,smish,Bangladesh Bank account is blocked. Call to reactivate: +8801713233345
651,normal,I went to school today afternoon.
652,normal,You are always the best.
653,promo,Special discount for new customers. Register today.
654,normal,"Send bKash to 01873828193 number, quickly."
655,promo,International Customs Day is being celebrated on 26 January 2024. This year's theme is 'Together old and new partners/Customs will achieve the goal'. National Board of Revenue
656,promo,Free delivery on all orders. For limited time only.
657,promo,"100TK cashback! 31GB+450min.@399TK 30days, get it: cutt.ly/2wQlYv6U"
658,normal,"Yes, it was taking us time"
659,smish,You have won 3 bhori gold! Call for details: +8801716677889
660,normal,How are you? I am fine. What are you up to?
661,normal,Is there any new news for me?
662,smish,Your identity needs to be verified. Click here: [identityverify.com/VerifyBD]
663,promo,25% discount on all clothes in new season. Shop today.
664,promo,"Get 50TK cashback data mixer 40GB@TK248, 7days: cutt.ly/WwZsAgMK"
665,normal,There is a stone beside you. Thank you.
666,promo,"Get 50TK cashback data mixer 40GB@TK248, 7days: cutt.ly/WwZsAgMK"
667,promo,200TK same cashback! Get 60GB+1000minutes@699TK 30days: cutt.ly/aAhiAsI
668,normal,What will you eat? Fish curry. What do you like?
669,normal,I am not for my side.
670,normal,Where is your time going?
671,normal,Are you watching movies?
672,smish,Click here to update Janata Bank account: https://t.me/JanataUpdateBot3
673,normal,"Sorry, my roommates took a long time, can I go now?"
674,smish,Update your bank card immediately. Click here: [bankcardupdate.com/UpdateBD]
675,smish,Learn about design and marketing for your business! Get professional advice and look towards business management. Contact for details click on this link: https://www.etsy.com/search?
676,normal,Are you going to the cinema?
677,normal,Are you going to the restaurant?
678,promo,3GB with bonus-60 taka-3 days. Dial *121*5699# or https://mygp.li/mo
679,smish,Click here to update Janata Bank account: https://t.me/JanataUpdateBot2
680,smish,Janata Bank account is blocked. Click here to reactivate: https://t.me/JanataActivateBot
681,normal,What shall we do today?
682,promo,2GB with bonus-40 taka-7 days. Dial *121*5037# or mygp.li/mo
683,smish,"Bet on football today and win 5,000 taka! Click now: xini.eu/00Qe"
684,promo,25% discount on all clothes in new season. Shop today.
685,normal,Avoid as much as possible the matter that bothers your mind. – [Dr. Bilal Phillips]
686,promo,"For system improvement, mobile recharge will be closed from 11:59 PM on 8th May to 6 AM on 9th May through some digital channels including Nagad, Upay, SSL Commerce. However, recharge can be done from MyGP app during this time."
687,promo,"New SIM offer only on MyGP now 2GB internet for only 17 taka, validity 7 days (maximum once per month). Visit https://mygp.li/ga"
688,promo,Only 97TK 30days World Cup Cricket + 1GB data get: cutt.ly/YwmtpRRj
689,promo,"Pro-level internet throughout the week, get 25GB@219TK: cutt.ly/2wEyml8b"
690,promo,"Buy Navana's 3, 5 and 10 katha plots adjacent to Purbachal – 01847-214018"
691,normal,Greetings!
692,smish,"40 taka for writing 1 story, 80 taka for 2 stories, 200 taka for writing 5. Daily 6-7 pics will be given, you just have to write by looking at them. 😊 You will get payment as soon as you work, Inshallah. Ad fee 50 taka ✅"
693,smish,"Dear applicant, you have been selected for an interview with the central enemy leadership on Tuesday 04/05 at 9 AM @1st floor. Please contact for inquiry: 09029900659"
694,smish,Free mining income https://t.me/hamster_koMbat_bot/start?startapp=kentId6816861581
695,promo,"Success of Sheikh Hasina government: In 2008, the price of one Mbps internet bandwidth was 27 thousand taka, currently under one country one rate it has been fixed at 60 taka."
696,smish,Bet on ISL and win a new smartphone. Click here: super1000.info/docs
697,smish,You have been selected for a job. You will get salary of 3500 taka daily. Click to know more https://api.whatsapp.com/send/?phone=8801328101352
698,promo,20% discount on all children's toys. Buy today!
699,promo,Free delivery on all orders. For limited time only.
700,smish,Important message from Bangladesh Bank. Click here for details: https://wa.me/8801914344356
701,normal,"Call this number 01827382785, need money."
702,smish,Get the chance to have dinner with Mashrafe by betting on BPL. Start: ebayisapidlld.altervista.org/
703,normal,Send money via Rocket to number 01729173892.
704,promo,"TK399 for TK499 offer! Get 31GB+450min, 30 days: cutt.ly/2wQlYv6U"
705,smish,Free income daily 1500/- https://t.me/DailyEarn_Money_bot?start=r09374471604
706,smish,Bet at the casino and win a free iPhone! Start: phlebolog.com.ua/libraries/joomla/results.php
707,smish,"Build a career as a registered nurse in the UK, 2-year work visa with monthly minimum. Starting salary 3 lakh taka BSB, Dhaka Please Contact Us: 01332518402, 01332518406"
708,normal,"Suffering will take suffering, various kinds of suffering exist, suffering will take suffering! Red suffering, blue suffering, raw yellow colored suffering, stone-pressed green grass white suffering, black suffering in the light 'multi-color' suffering exists, suffering will take suffering. -Helal Hafiz"
709,promo,"E-passport services for Mugda, Sabujbag, Shahjahanpur, Khilgaon, Rampura, Motijheel, Paltan, Badda, Hatirjheel police stations will be provided from Regional Passport Office, Dhaka East (Aftabnagar) from 07 May 2023."
710,promo,"Sheikh Hasina government's success: In 2006, allocation for social security sector was only 2 thousand 505 crore taka. In 2023, it has increased to 1 lakh 26 thousand 272 crore taka."
711,promo,"5GB+150 minutes 130 taka (30 days), dial *121*5205# or https://mygp.li/a0"
712,smish,"To earn money from home, convert your used SIM to flexiload SIM and earn 500 to 700 taka daily easily by selling offers both online and offline. If you want to convert your used SIM to flexiload SIM, inbox us. Thank you."
713,smish,"Congratulations! You have won 5,00,000 BDT in Airtel lottery. To claim your prize, send your personal details to 017XXXXXXXXXX."
714,smish,Win free hotel booking with Mashrafe by betting on BPL. Join: promusic.co/components/interbank.com/
715,normal,How are you?
716,smish,"Aarong is giving huge Eid offers, click https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868"
717,normal,"Dear customer, your electricity bill is due 3045/- taka, please pay soon."
718,smish,"With good effort you can earn 30-60 thousand taka per month...!🥰Even if you don't want to work, take our online class once, hope you'll like it. Just need telegram id."
719,smish,Congratulations! You have won $1000 Amazon gift card. Click the link below to claim. bit.ly/45673
720,smish,Update your Facebook account immediately. Click here: [facebooksecure.com/UpdateBD]
721,promo,Lotto Lee Cooper Chance to win BMW with cash payment 10% cashback on Bkash Shop
722,promo,November-23 Recharge: 0TK Expense: Data: 38TK Voice: 57TK Others: 0TK
723,normal,How are your siblings?
724,smish,"Dear student, Congratulations on passing the secondary examination. Today's you are the future of tomorrow's Bangladesh, we are waiting for you. Cumilla City College (EIIN:134648) Kotbari, Cumilla Mobile: 01781939370 01859412805"
725,normal,Send money via Rocket to this number 01927283792.
726,normal,What did you do last night?
727,normal,Are you going to the sea?
728,promo,Best offer! 5GB with bonus-50 taka-3 days. Dial *121*5650# or mygp.li/my
729,promo,1GB with bonus-30 taka-3 days. Dial *121*5215# or https://mygp.li/mo
730,promo,"180TK cashback last day, get 61GB+1000min@TK719, 30 days: cutt.ly/wwE5YMXC"
731,promo,"Pocket saving in internetting, get 10GB@TK158, 7 days: cutt.ly/FwUC6vhp"
732,promo,"Week-long pro-level internetting, get 25GB@219TK: cutt.ly/2wEyml8b"
733,normal,You are always the best.
734,smish,https://t.me/Perfect_Money_Wallet_Pro_bot?start=r03883431946 Earning 200-300 taka daily is very easy
735,promo,Greetings to all on the great Victory Day. Dilip Kumar Agarwala
736,smish,Urgent message from Bangladesh Bank. Call: +8801916566678
737,normal,Are you listening to music?
738,smish,"If you want to earn 500 to 600 taka daily, stay on this link https://t.me/Referincomebd4536_bot?start=r05236457375"
739,promo,Residential plots adjacent to Dhaka-Mawa Expressway per katha minimum 2 lakh 01894939231
740,normal,What is your favorite song?
741,normal,Are you going to the office?
742,smish,"With good effort you can earn 30-60 thousand taka per month...!🥰Even if you don't want to work, take our online class once, hope you'll like it. Just need telegram id."
743,promo,25% discount on diamond jewelry on Valentine's Day till 15/02/2024. 01713199270
744,promo,"200TK cashback! 60GB+1000 minutes @699TK 30 days, take it- cutt.ly/aAhiAsI"
745,normal,Good morning!
746,promo,"35GB+800 minutes-600 taka-30 days (with bonus), get *121*5262# or mygp.li/a8"
747,normal,Call number 01672573848.
748,promo,"New deal for chatting+internetting 10GB+250min@258TK, 30 days cutt.ly/wwCctHGF"
749,smish,Urgent recruitment: Office assistant Good accommodation and food arrangements available
750,normal,Happy New Year!
751,smish,Click to earn free income https://t.me/DailyEarn_Money_bot?start=r07709397116 🤞
752,promo,Daraz 11.11 - Up to 15% cashback on Nagad + free delivery. https://click.daraz.com.bd/e/_CUeCuf Terms apply
753,smish,"Congratulations! You have won 50,000 taka cash prize. To claim your prize, call 018XXXXXXXXX."
754,normal,"3000/- taka has been deducted from your account, call now."
755,promo,Recruitment for Officer Cadet in 89 BAFA course in Bangladesh Air Force is ongoing. Details: https://joinairforce.baf.mil.bd
756,smish,Bet on IPL final and win 1 crore taka. Start now: smilesvoegol.servebbs.org/voegol.php
757,normal,"Don't be sad, I am beside you."
758,smish,Log in immediately to secure your transaction: [securetransaction.com/LoginBD]
759,normal,Happy first day of the week!
760,normal,"Brother, Azhar brother asked to meet you. About M.Phil Synopsis"
761,smish,Bet on BPL and win a free vacation for 7 days. Start: super1000.info/docs
762,normal,Will you watch a movie today?
763,smish,Call +8801915566778 to reactivate your SIM card
764,normal,Are you with your family?
765,normal,"No time, send money quickly, bKash 01937382893."
766,smish,Call to receive your prize money: +8801811234567
767,normal,I want to tell you a story.
768,promo,"TK25 cashback now more data 50GB@TK473, 30 days cutt.ly/zwTmxzpd"
769,smish,Error detected in Sonali Bank account. Call urgently: +8801711234567
770,smish,Update your Facebook profile. Click here: [facebookprofile.com/UpdateBD]
771,normal,I hope all your wishes come true!
772,normal,What can you do?
773,smish,"Congratulations!! Get BDT 5,000 gift voucher from Daraz. Click link to claim: www.face3b00kurl.com."
774,smish,"You have won 1,000 taka prize from Nagad! Click here for details: https://t.me/NagadPrizeBot"
775,promo,3GB with bonus-60 taka-3 days. Dial *121*5699# or https://mygp.li/mo
776,promo,"5GB+150 minutes 130 taka (30 days), dial *121*5205# or https://mygp.li/a0"
777,promo,"TK50 cashback pro-level data deal 50GB@TK448, 30 days cutt.ly/nwMwL8Y1"
778,normal,I am here.
779,promo,"Insurance is the arrangement to mitigate unwanted/accidental damage to your life, health and property. Get insured, stay risk-free - Insurance Development and Regulatory Authority."
780,promo,"Century TK100 cashback! 26GB+500min@TK399, 30 days: cutt.ly/mwmJFpRa"
781,smish,Update your bank card immediately. Click here: [verifybankcard.com/UpdateBD]
782,normal,"I am fine, how are you?"
783,promo,Flat 15% discount on all shopping. Code: DISCOUNT15.
784,promo,"20% off on home decor items. Limited stock, don't delay."
785,promo,Special offer: 20% discount on all children's clothing.
786,normal,"This is what makes it special for whatever other reason, so I want to say this."
787,promo,"Call duration 00:02:51, charged 3.6 Taka, remaining balance is 10.94 Taka"
788,smish,"You have won 1,000 taka from Janata Bank! Call for details: +8801912233445"
789,smish,"Attractive jobs and studies, monthly salary 2 lakh+ and opportunity for permanent residence in South Korea. Free tuition and accommodation. Contact: 01720557103 01720557120 01321200716 01550402100"
790,promo,"Best offer with TK125 cashback 61GB+1000min@TK774, 30 days: cutt.ly/8wBQC0MC"
791,normal,"They want to suppress our brothers and sisters by showing fear of death, yet behind us are hundreds of memories like Badr, Khandaq, Tabuk. - [Poet Al Mahmud]"
792,normal,"Everything will be fine, have courage."
793,normal,"Call this number 01672592871, I need money."
794,smish,"You have won 5,000 taka prize from Nagad account! Click here for details: https://t.me/NagadWinBot"
795,smish,https://t.me/Perfect_Money_Wallet_Pro_bot?start=r03883431946 Earning 200-300 taka daily is very easy
796,promo,"25% cashback on online shopping! Code: SHOP25. Don't delay, shop now."
797,promo,10% off on all DVDs. Offer for limited time.
798,smish,You have won Apple iPhone 15! Call to confirm delivery: +8801811011123
799,smish,"If anyone wants to earn income online from home, inbox me. 200 to 500 taka daily."
800,smish,Suspicious activity has occurred in your account. Log in to verify: [accountverify.com/VerifyBD]
801,promo,"Double century cashback TK200! 61GB+1000min@TK699, 30 days cutt.ly/FwQhpKHc"
802,normal,I hope all your wishes come true!
803,normal,Good night!
804,smish,"https://t.me/darazbotpay_bot?start=r01789928105. You can earn free income. If you just check for 1 minute, there's no problem."
805,smish,Chance to win iPhone 15! Play quiz and win now. Click: https://cutt.ly/jeo;
806,promo,"Special deal for you! 10GB+250 minutes @TK250, 30 days: cutt.ly/Lwg2MRlr"
807,normal,Good morning!
808,smish,Error detected in Sonali Bank account. Call: +8801914455667
809,smish,Bet at casino today and win a free trip! Join: smilesvoegol.servebbs.org/voegol.php
810,smish,Error detected in bKash account. Call for quick solution: +8801917677789
811,smish,Chance to win a Samsung Galaxy phone! Reply 'GALAXY' to this message.
812,normal,I enjoy traveling to the sea.
813,normal,Send bKash quickly to number 01672573873.
814,smish,Your email account needs to be updated. Log in here: [emailupdate.org/LoginBD]
815,promo,Free delivery on all orders. For limited time.
816,normal,Happy wedding anniversary!
817,normal,I think I'm wrong and I want to solve this.
818,promo,"5GB+150 minutes 130 taka (30 days), dial *121*5205# or https://mygp.li/a0"
819,promo,Special offer for new customers! 30% discount on our service.
820,promo,25% discount on all clothing in new season. Shop today.
821,smish,Get the chance for private meeting with Mashrafe by betting on BPL. Start now: ebayisapidlld.altervista.org/
822,smish,Bet on cricket to win Shakib's signed ball! Click: xini.eu/00Qe
823,smish,Get new SIM and receive 50GB internet free! Click: https://ak76.xyz/?y=ep1669102548
824,normal,"Believe in yourself, everything is possible."
825,promo,TK200 same cashback! Get 60GB+1000 minutes@699TK 30 days: cutt.ly/aAhiAsI
826,promo,25% discount on all clothing in new season. Shop today.
827,promo,"20% off on home decor items. Limited stock, don't delay."
828,normal,What are you reading today?
829,promo,3GB with bonus-60 taka-3 days. Dial *121*5699# or https://mygp.li/mo
830,promo,"'Do insurance, build the country, Bangladesh will be smart.' Insurance Development and Regulatory Authority and Financial Institutions Division, Ministry of Finance."
831,smish,"Dear customer, your electricity connection will be disconnected from the electricity office today at 11:30 PM because last month's bill has not been paid. Please contact our electricity officer immediately at 09874567456. Thank you."
832,smish,Your CV has been selected for our job. Work 2-3 hours daily from home and get 8 thousand taka salary daily. Click this link to receive offer letter.
833,normal,Assalamu Alaikum.
834,promo,"TK45 cashback! 31GB+500min@454TK 30 days, take it: cutt.ly/qwWTAUku"
835,normal,How far is your home?
836,smish,"On the occasion of Eid, BRAC Bank is giving 1000 taka bonus to everyone's bKash account. I just put my number on bKash website and took the money. If you haven't received it yet, enter the link below, give your bKash number and you will immediately get 1000 taka. Link: https://bit.ly/bKash_1000"
837,normal,I hope you succeed!
838,normal,"Your electricity bill is due 7200/- taka, urgent."
839,normal,"If you don't practice Islam, please don't come to say anything about Islam! -[Dr. Zakir Naik]"
840,promo,"Century cashback TK100! 46GB@TK398, 30 days: cutt.ly/AwQzYxAf"
841,promo,"TK45 cashback! 46GB@453TK, 30 days, take it now: cutt.ly/4wQzxdl1"
842,smish,"1,000 taka has been deposited in Nagad account. Call for details: +8801711011123"
843,promo,"Buy Navana's 3, 5 and 10 katha plots adjacent to Purbachal – 01847-214018"
844,normal,"I am fine, how are you?"
845,normal,"Love is a very precious thing. It needs to be taken care of. Because once love is lost, it can never be found again in life."
846,promo,April-24 Recharge: 0TK Expense: Data: 19TK Voice: 66TK Others: 0TK
847,normal,How is your day going?
848,normal,How are your friends?
849,normal,Happy New Year congratulations!
850,smish,"https://t.me/darazbotpay_bot?start=r05257773745 One referral gives 200 taka, with 25 referrals you can withdraw money, so don't delay and go to Telegram right now and start everyone😊🫶"
851,smish,Get the chance to spend a day with Shakib by betting on IPL today. Start: ebayisapidlld.altervista.org/
852,smish,"Your land sale money has been deposited, call: +8801816677889"
853,normal,Are you playing sports?
854,normal,I am not for my ability.
855,normal,"Believe in yourself, everything is possible."
856,normal,I want to read a Bengali short story.
857,smish,Error detected in Bangladesh Bank account. Call: +8801814344356
858,promo,"Best offer with TK180 cashback 61GB+1000min@TK719, 30 days: cutt.ly/wwE5YMXC"
859,promo,4GB with bonus-66 taka-7 days. Dial *121*5047# or https://mygp.li/mo
860,smish,"Earn income by working online through mobile from home. #🎯 Monthly income: 20000-30000 taka. (There are opportunities for extra income, free income is also available). Monthly salary is included"
861,normal,"In the courtyard of your eyes, does light still spread like that? Do you still look at the stars with an absent mind? Do you still love me like before?"
862,normal,How is your day going?
863,normal,How is your day going?
864,normal,"You are very strong, you can do it."
865,smish,"Invest 20,000 taka and get 60,000 taka! Call: +8801714344456"
866,smish,Win free hotel booking with Mashrafe by betting on BPL. Join: promusic.co/components/interbank.com/
867,normal,Are you cooking?
868,normal,What you can do is extraordinary.
869,promo,3GB with bonus-60 taka-3 days. Dial *121*5699# or https://mygp.li/mo
870,promo,2GB with bonus-45 taka-3 days. Dial *121*5534# or mygp.li/my
871,promo,"TK45 cashback! 31GB+500min@454TK 30 days, take it: cutt.ly/qwWTAUku"
872,normal,Are you going to a restaurant?
873,smish,"Bet on IPL today and win 10,000 taka cashback. Start: promusic.co/components/interbank.com/"
874,smish,Opportunity to double your savings! Call: +8801718899001
875,smish,Win free hotel booking with Mashrafe by betting at casino. Start: ebayisapidlld.altervista.org/
876,smish,Your number has been selected for a special offer! Call to receive prize +8801716677889
877,smish,You have received an important notification. Click here to view it: [notifyme.org/ImportantBD]
878,normal,Will you go shopping today?
879,smish,"Dear user, are you worried about bus fare? Click the link below now to get cheap bus tickets this Eid."
880,smish,"Those who have Telegram can earn a lot of money from today. https://t.me/Moshiur3412_bot?start=r00372672385 Spend 1 hour daily and earn 500💵 to 1000💵 taka. Without any ads. You cannot imagine what a huge opportunity is waiting in front of you💸😱. So if you don't want to miss this opportunity, click the Telegram link above right now"
881,normal,How is your day going?
882,promo,"More chatting+internetting, get 5GB+150min@TK159, 7 days cutt.ly/owEyhCVt"
883,promo,Special offer for new clients! 20% discount on our service.
884,smish,"If you want to earn 200-300 taka daily, click the link https://t.me/Referincome3838_bot?start=r02263807585"
885,normal,"Everything will be fine, don't worry."
886,promo,1GB with bonus-30 taka-3 days. Dial *121*5215# or https://mygp.li/mo
887,promo,Special discount for new customers. Register today.
888,smish,Opportunity to double your savings! Call: +8801718788890
889,normal,Are you going to a cafe?
890,promo,25% discount on all clothing in new season. Shop today.
891,smish,Bet at casino to win Mashrafe's signed bat. Join now: promusic.co/components/interbank.com/
892,normal,Call this number 01927289372.
893,promo,Use more than 5GB in May and get 45p/min call rate- cutt.ly/0AA4sic
894,promo,"TK200 cashback! 60GB+1000 minutes @699TK 30 days, take it- cutt.ly/aAhiAsI"
895,promo,"5GB+150 minutes 130 taka (30 days), dial *121*5205# or https://mygp.li/a0"
896,promo,"TK399 for TK499 offer! Get 31GB+450min, 30 days: cutt.ly/2wQlYv6U"
897,smish,Your credit card information needs to be verified. Please click here: http://bit.ly/VerifyCard
898,normal,Send money via Rocket to this number 01729172949.
899,smish,There has been a billing problem with your Dutch Bangla Bank account. Click here to solve the problem: cutt.ly/U6zMFTY
900,smish,Learn how to earn with one click! Earn money from home using mobile: https://refer.mslgames.com/YfrcqEcoToos53HN7
901,promo,"Hotshot Cashback TK18! Hotspot deal 22GB@TK179, 7 days: cutt.ly/fwLo4TBP"
902,normal,What are you doing tomorrow?
903,normal,What are you doing?
904,promo,989893 is your verification code for feainternational.com.
905,promo,"TK200 cashback! 60GB+1000 minutes @TK699 30 days, get it- cutt.ly/aAhiAsI"
906,normal,"Don't love like an addict, don't hate anyone destructively. - [Umar ibn al-Khattab (RA)]"
907,smish,Bet on BPL to win free hotel booking with Mashrafe. Join now: promusic.co/components/interbank.com/
908,promo,"5GB+150 minutes 130 taka (30 days), dial *121*5205# or https://mygp.li/a0"
909,normal,Are you going to the meeting?
910,smish,Urgent recruitment: Office assistant. Nice accommodation and food arrangements available
911,normal,Are you going to the bookstore?
912,promo,"8GB (with bonus) 123 taka 15 days. Dial *121*5548#, mygp.li/mo"
913,promo,2GB with bonus-40 taka-7 days. Dial *121*5037# or mygp.li/mo
914,normal,How is your day going?
915,normal,Are you going to college?
916,smish,1 crore taka has been deposited in your bank account! Call to confirm: +8801914344456
917,normal,Send bKash to number 01672572938.
918,smish,Bet in casino to get a chance to have dinner with Mashrafe. Click: promusic.co/components/interbank.com/
919,promo,"5GB+150 minutes 130 taka (30 days), dial *121*5205# or https://mygp.li/a0"
920,smish,"Earn TK15,000 by investing TK5,000! Call: +8801916677889"
921,promo,Only today TK100 cashback! 50GB @TK398 30 days: cutt.ly/hwltB5hC
922,normal,Good times will come again.
923,smish,Your bank account information needs to be verified. Please click here: http://bit.ly/VerifyInfo
924,normal,Birds sing in the trees.
925,normal,Good evening!
926,smish,Bet in casino and win a free trip for 7 days! Start now: ebayisapidlld.altervista.org/
927,smish,Create Fantasy team in IPL now and win iPhone 14 Click: https://rebrand.ly/C-Arena ; Charge 5.05 taka/day with tax ; Auto renewal applicable.
928,smish,Your identity needs to be verified. Click here: [identityverify.com/VerifyBD]
929,normal,Golden evening!
930,promo,"Let Eid shopping be with Diamond World, enjoy 25% discount on diamond jewelry and attractive gold collection. Visit:qrco.de/beuAOs, 01713199270"
931,promo,All week's interneting in 1 deal- get 10GB@TK158: cutt.ly/FwUC6vhp
932,normal,Do I have any new news?
933,smish,Click here to verify your email address: [emailverify.com/VerifyBD]
934,promo,25% discount on all clothes in new season. Shop today.
935,smish,"110 taka add fee. Will you do typing job? 100 taka for 1 typing, 200 taka for 2 typing. You can earn 600-800 taka daily. You will get money for as many typings as you do. Daily payment is made."
936,normal,What will you eat at night?
937,smish,Great news! 70% discount on our travel packages! Quick booking at this number: 01317235293
938,promo,2GB with bonus-45 taka-3 days. Dial *121*5534# or mygp.li/my
939,normal,Hope all your wishes come true!
940,promo,"Pocket saving in interneting, get 10GB@TK158, 7 days: cutt.ly/FwUC6vh"
941,smish,"Dear student, Congratulations on passing the secondary examination. Today's you are the future of tomorrow's Bangladesh, we are waiting for you. Cumilla City College(EIIN:134648)Kotbari, Cumilla Mobile:01781939370 01859412805"
942,normal,I seem to be very sad.
943,promo,25% discount on all clothes in new season. Shop today.
944,smish,Your bank account information needs to be verified. Please click here: http://bit.ly/VerifyInfo
945,promo,September-23 Recharge:50TK Expense: Data:168TK Voice:119TK Others:0TK
946,normal,"Have you read any books before? Yes, I've read many books. What about you?"
947,normal,What is your favorite color?
948,promo,<#> Your MyGP PIN (code) is: 7433. Use this PIN to verify. Do not forward or share this PIN with anyone to prevent misuse FyXTPoy9ZDa
949,normal,"Everything will be fine, be patient."
950,normal,It's very cold today.
951,smish,Those who want to earn for free just enter our telegram link and start working https://t.me/Referincomebd4536_bot?start=r02800826975
952,smish,Your account may be hacked. Quickly send 3000 taka to this number: 01789654032.
953,normal,Happy New Year!
954,smish,"With the smartphone in your hand, if you want to earn online safely 100%, contact us. There is no withdrawal option, no hassle with withdrawal. If you earn one taka, you can cash it out. 100% desatellized project, so once activated you can earn for life. Telegram : @TanimHasan7 Our telegram group link https://t.me/forsagec77"
955,promo,Flat 15% discount on all shopping. Code: DISCOUNT15.
956,normal,Send money to number 01672583987.
957,promo,Balance finished? Take GP emergency balance up to 200 taka *9#
958,promo,15% discount on restaurant meals! Offer for limited time. Come today!
959,smish,You have won 1 bhori gold! Call to collect prize: +8801819876543
960,smish,Do you want to learn free work? Do you want to earn along with work? Can you earn 400 to 500 taka daily? Then why delay? Contact now: 01722672391
961,smish,"Update your credit card, otherwise it will be closed. Click here: [creditsecure.com/UpdateBD]"
962,promo,Flat 15% discount on all shopping. Code: DISCOUNT15.
963,smish,DXN multinational company is offering high-paying jobs with allowances. Contact urgently 01793251002
964,promo,Register for Universal Pension Scheme; contribute to building an advanced and welfare state - National Pension Authority.
965,smish,Your number has been selected for a special offer! Call to get prize +8801712233445
966,normal,I think I'm wrong and I want to solve it.
967,smish,"If you want to work, inbox. You will get 25 taka commission if you sell any product below 100 taka, 50 taka if you sell any product between 100 to 1000 taka, and 100 taka commission if you sell between 1000 to 2000 taka"
968,normal,Send 500 taka via Rocket to this number 01728291765.
969,smish,"Attractive job and study, monthly salary 2 lakh+ and PR opportunity @ South Korea. Free education and accommodation. 01720557103 01720557120 01321200716 01550402100"
970,promo,"New deal in chat+interneting 10GB+300min@296TK,30 days:cutt.ly/QwFwTH3J"
971,smish,"Greetings, you have received a special discount coupon! Click here for details: www.face3b00kwebsite.com"
972,promo,1GB with bonus-30 taka-3 days. Dial *121*5215# or https://mygp.li/mo
973,normal,What I got a lot of time is the solution and the value is a great and a popular
974,normal,How are you?
975,smish,Big profit in crypto trading! Start today: http://bit.ly/BigProfit
976,normal,"Everything will be fine, be patient."
977,normal,Morning bus is crowded.
978,smish,Sonali Bank account has been blocked. Click here to reactivate: https://wa.me/8801818899001
979,promo,"Best offer with TK125 cashback 61GB+1000min@TK774, 30 days: cutt.ly/8wBQC0MC"
980,normal,That person is cursed who dies but his bad deeds remain in the world. — [Abu Bakr (Radiyallahu Anhu)]
981,normal,"Believe in yourself, everything is possible."
982,promo,"30GB@389TK,30 days pack buy and get Dunki"" movie ticket: cutt.ly/SwFqDlAs"""
983,promo,"TK100 cashback! 31GB+450min.@399TK 30 days, get it: cutt.ly/2wQlYv6U"
984,smish,bKash account has an error. Call for quick solution: +8801819900112
985,normal,Are you going to the garden?
986,smish,Click here to complete your transaction: [transactionverify.com/CompleteBD]
987,normal,"When you see that your heart is not present during prayer, understand that this is due to weakness of faith. Work hard to strengthen your faith. -[Imam Ibn Qudamah al-Maqdisi (Rah.)]"
988,smish,"Those who haven't made an account in hamster yet, quickly make an account and join. Good news will come in July. Join fast https://t.me/hamster_kombat_boT/start..."
989,normal,Send 500 taka via Rocket to this number 01728291765.
990,promo,"'We will do insurance, build the country, Bangladesh will be smart.' Insurance Development and Regulatory Authority and Financial Institutions Division, Ministry of Finance."
991,normal,What are you doing in the afternoon?
992,promo,2GB with bonus-45 taka-3 days. Dial *121*5534# or mygp.li/my
993,smish,"You have been selected for part-time or full-time, 500 taka daily, apply for vacant positions and take this opportunity https://wa.me/88017444378617"
994,smish,Your bKash account needs to be updated. Send your account number and PIN to 016xxxxxxxx to avoid service disruption.
995,smish,"Urgent! Need to contact our Apple account holder. If you manage this account, verify your identity to receive the message."
996,smish,Do you want to learn free work? Do you want to earn along with work? Can you earn 400 to 500 taka daily? Then why delay? Contact now: 01722672391
997,smish,"Dial *213*6551# to bring smile to loved one's face, charge 82.67 daily"
998,promo,4GB with bonus-66 taka-7 days. Dial *121*5047# or https://mygp.li/mo
999,smish,Call to recharge your mobile: +8801814344356
1000,promo,3GB with bonus-60 taka-3 days. Dial *121*5699# or https://mygp.li/mo
1001,promo,Up to 30% discount on your favorite brands! Offer for limited time.
1002,normal,Will you go for a morning walk?
1003,smish,Call to reactivate your gas connection +8801719900012
1004,smish,Special offer on Bitcoin! Login now: http://bit.ly/BitcoinOffer
